PTO_X,PTO_Y,WI0,WI1,WI2,WI3,WI4,WI5,WI6,WI7,WI8,WI9
80.93791,43.608284,-61,-49,-49,-49,-49,-67,-68,-64,-71,-99
86.32221,49.862183,-51,-40,-40,-41,-39,-58,-59,-55,-64,-52
82.76119,81.366425,-53,-66,-66,-66,-66,-55,-62,-61,-99,-62
80.99887,68.8372,-44,-49,-50,-49,-49,-54,-49,-47,-99,-46
69.9032,40.378757,-61,-47,-46,-46,-46,-67,-99,-99,-64,-66
78.18497,87.27527,-61,-75,-76,-76,-75,-67,-66,-67,-99,-66
86.66725,85.976105,-44,-50,-50,-49,-49,-45,-99,-52,-99,-99
74.36997,68.59354,-59,-65,-66,-65,-65,-71,-58,-58,-99,-58
72.79826,15.092438,-84,-73,-73,-73,-73,-99,-99,-99,-65,-99
70.85018,14.4156065,-83,-73,-73,-73,-73,-99,-99,-99,-65,-99
95.23802,86.42909,-50,-58,-63,-63,-63,-56,-58,-58,-99,-58
79.94366,87.46478,-55,-64,-64,-64,-64,-65,-61,-62,-99,-66
81.93902,47.777554,-58,-43,-43,-43,-44,-71,-62,-62,-73,-66
75.939255,67.727196,-59,-63,-63,-63,-63,-67,-57,-57,-99,-57
82.31781,50.214138,-52,-34,-35,-35,-34,-61,-58,-59,-70,-99
85.41276,71.47118,-43,-56,-56,-56,-56,-51,-56,-58,-99,-58
71.82663,74.71207,-59,-63,-62,-71,-71,-68,-57,-57,-99,-57
80.450905,39.628536,-57,-46,-46,-46,-46,-67,-99,-99,-75,-99
68.97884,45.016094,-60,-51,-49,-50,-48,-67,-64,-64,-54,-99
83.2648,46.342674,-61,-50,-50,-50,-50,-67,-65,-65,-75,-64
72.00919,46.478043,-58,-39,-39,-38,-39,-66,-99,-64,-59,-99
80.96497,42.065117,-58,-41,-41,-41,-41,-67,-99,-64,-74,-99
82.3416,65.20939,-47,-50,-50,-56,-57,-54,-45,-45,-76,-46
74.69224,14.226093,-83,-73,-73,-73,-73,-85,-99,-99,-65,-99
70.36558,86.51757,-65,-75,-76,-75,-75,-70,-65,-65,-99,-65
76.52767,38.978775,-65,-50,-50,-50,-50,-74,-99,-99,-70,-99
84.25238,38.8028,-52,-44,-44,-44,-44,-61,-61,-55,-67,-57
86.60631,26.105225,-58,-46,-46,-46,-47,-60,-99,-62,-66,-99
72.09037,49.13121,-69,-45,-45,-46,-46,-71,-72,-66,-77,-72
94.80511,87.8369,-53,-59,-59,-59,-59,-55,-58,-59,-99,-58
74.549255,64.58671,-45,-58,-57,-54,-58,-55,-42,-43,-99,-43
87.01898,88.73757,-44,-51,-51,-51,-52,-49,-54,-49,-99,-54
75.093666,46.77585,-70,-50,-50,-50,-50,-76,-68,-68,-73,-67
69.35764,39.95341,-59,-41,-41,-41,-42,-70,-99,-65,-55,-99
86.3628,28.135712,-61,-55,-55,-55,-55,-60,-99,-62,-65,-99
70.33168,39.3578,-65,-47,-48,-49,-48,-72,-99,-65,-64,-99
72.333885,40.115852,-67,-50,-49,-49,-50,-74,-99,-99,-64,-99
76.635895,47.01951,-68,-58,-58,-58,-59,-76,-68,-68,-69,-67
78.665146,39.303658,-60,-46,-46,-46,-46,-68,-99,-99,-70,-99
94.96745,83.96545,-52,-61,-62,-61,-63,-57,-58,-60,-99,-58
78.21202,67.64597,-48,-63,-63,-64,-63,-65,-60,-58,-99,-59
83.35644,72.58118,-50,-63,-63,-63,-63,-50,-54,-54,-99,-54
72.530106,70.89476,-50,-56,-57,-57,-58,-63,-60,-60,-99,-60
82.61544,46.39682,-61,-53,-53,-53,-53,-66,-65,-65,-71,-64
83.45419,42.90439,-55,-44,-46,-44,-44,-65,-61,-65,-67,-59
94.426315,84.561066,-54,-61,-62,-61,-63,-57,-58,-60,-99,-58
80.40361,87.30234,-57,-65,-64,-64,-64,-65,-60,-60,-99,-66
86.20047,33.22573,-56,-52,-52,-51,-52,-62,-99,-67,-99,-57
91.504196,84.66934,-52,-70,-70,-69,-70,-58,-58,-60,-99,-60
68.897675,39.00585,-58,-43,-43,-43,-43,-68,-99,-65,-53,-99
79.59191,87.085754,-57,-65,-64,-64,-64,-65,-60,-60,-99,-66
80.86359,70.46319,-42,-49,-50,-49,-49,-57,-49,-49,-99,-49
86.34926,50.539017,-51,-40,-40,-41,-39,-58,-59,-55,-64,-52
79.12955,49.312897,-60,-47,-47,-46,-46,-70,-71,-61,-76,-99
73.35877,61.716957,-51,-52,-53,-53,-52,-58,-43,-45,-99,-45
90.93599,88.29715,-52,-64,-63,-63,-63,-57,-60,-60,-99,-59
71.93486,86.95039,-62,-75,-76,-75,-75,-67,-67,-67,-99,-67
82.73414,82.63887,-53,-66,-66,-66,-66,-55,-62,-61,-99,-62
80.21422,68.67476,-43,-49,-50,-49,-49,-54,-49,-47,-99,-46
79.17923,46.992424,-62,-40,-41,-41,-41,-75,-62,-68,-73,-66
71.445435,15.227802,-83,-73,-73,-73,-73,-99,-99,-99,-65,-99
73.57522,61.608665,-51,-52,-53,-53,-52,-58,-43,-45,-99,-45
70.95399,45.557556,-57,-48,-48,-48,-48,-66,-64,-64,-55,-99
